run_id,variant_code,variant_label,symbol,signal_date,entry_date,exit_date,gross_entry_price,gross_exit_price,invested_cash,realized_cash,net_return_pct,max_runup_pct,max_drawdown_pct,holding_days,exit_reason,score,signal_reason_1,signal_reason_2,signal_reason_3
apr2026_signal_replay_to_0511,second_wave_reclaim,二波回踩转强,sz002051,2026-04-14,2026-04-15,2026-04-23,11.9,11.23,250000.0,234747.69,-6.1,3.11,-6.13,3,active_sell_pressure,79.64,20日趋势已形成且回撤仍可控,贴近10日线后的转强日,中短期主力/超大单未明显撤退
apr2026_signal_replay_to_0511,second_wave_reclaim,二波回踩转强,sh605299,2026-04-24,2026-04-27,2026-04-29,21.75,21.36,250000.0,244292.72,-2.28,3.45,-2.16,1,active_sell_pressure,73.91,20日趋势已形成且回撤仍可控,贴近10日线后的转强日,中短期主力/超大单未明显撤退
apr2026_signal_replay_to_0511,second_wave_reclaim,二波回踩转强,sz002756,2026-04-24,2026-04-27,2026-04-28,80.36,75.1366,250000.0,232584.16,-6.97,0.0,-8.54,1,hard_stop,67.28,20日趋势已形成且回撤仍可控,贴近10日线后的转强日,中短期主力/超大单未明显撤退
mar_to_may_available,platform_breakout,平台突破续强,sz002531,2026-03-03,2026-03-04,2026-03-10,10.27,10.58,250000.0,256261.73,2.5,6.62,-1.66,3,capital_peak_drawdown,68.67,平台末端接近前高，具备突破条件,放量和主动买盘同步抬升,10日资金结构保持正向
mar_to_may_available,platform_breakout,平台突破续强,sh600470,2026-03-06,2026-03-09,2026-03-10,9.04,7.79,250000.0,214356.95,-14.26,0.0,-13.83,1,hard_stop,65.32,平台末端接近前高，具备突破条件,放量和主动买盘同步抬升,10日资金结构保持正向
mar_to_may_available,platform_breakout,平台突破续强,sz001400,2026-03-09,2026-03-10,2026-03-12,139.0,143.8,250000.0,262998.26,5.2,14.38,0.0,1,trailing_drawdown,72.05,平台末端接近前高，具备突破条件,放量和主动买盘同步抬升,10日资金结构保持正向
mar_to_may_available,platform_breakout,平台突破续强,sz000509,2026-03-24,2026-03-25,2026-03-27,4.53,4.25,250000.0,233377.65,-6.65,1.77,-5.08,1,active_sell_pressure,67.54,平台末端接近前高，具备突破条件,放量和主动买盘同步抬升,10日资金结构保持正向
mar_to_may_available,second_wave_reclaim,二波回踩转强,sz002358,2026-03-04,2026-03-05,2026-03-09,9.04,9.04,250000.0,248753.12,-0.5,5.09,-0.88,1,active_sell_pressure,66.88,20日趋势已形成且回撤仍可控,贴近10日线后的转强日,中短期主力/超大单未明显撤退
mar_to_may_available,second_wave_reclaim,二波回踩转强,sh601975,2026-03-16,2026-03-17,2026-03-18,5.09,4.7591,250000.0,232584.16,-6.97,0.2,-9.23,1,hard_stop,63.43,20日趋势已形成且回撤仍可控,贴近10日线后的转强日,中短期主力/超大单未明显撤退
mar_to_may_available,second_wave_reclaim,二波回踩转强,sz001400,2026-03-18,2026-03-19,2026-03-23,147.01,143.56,250000.0,242915.43,-2.83,7.24,-3.27,1,active_sell_pressure,79.13,20日趋势已形成且回撤仍可控,贴近10日线后的转强日,中短期主力/超大单未明显撤退
mar_to_may_available,second_wave_reclaim,二波回踩转强,sh600152,2026-03-25,2026-03-26,2026-04-01,10.33,10.67,250000.0,262620.68,5.05,14.33,-4.65,3,trailing_drawdown,70.45,20日趋势已形成且回撤仍可控,贴近10日线后的转强日,中短期主力/超大单未明显撤退
mar_to_may_available,second_wave_reclaim,二波回踩转强,sz002051,2026-04-14,2026-04-15,2026-04-23,11.9,11.23,250000.0,234747.69,-6.1,3.11,-6.13,3,active_sell_pressure,79.64,20日趋势已形成且回撤仍可控,贴近10日线后的转强日,中短期主力/超大单未明显撤退
mar_to_may_available,second_wave_reclaim,二波回踩转强,sh605299,2026-04-24,2026-04-27,2026-04-29,21.75,21.36,250000.0,244292.72,-2.28,3.45,-2.16,1,active_sell_pressure,73.91,20日趋势已形成且回撤仍可控,贴近10日线后的转强日,中短期主力/超大单未明显撤退
mar_to_may_available,second_wave_reclaim,二波回踩转强,sz002756,2026-04-24,2026-04-27,2026-04-28,80.36,75.1366,250000.0,232584.16,-6.97,0.0,-8.54,1,hard_stop,67.28,20日趋势已形成且回撤仍可控,贴近10日线后的转强日,中短期主力/超大单未明显撤退
